,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
43,43,St Helen and St Katharine,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82206/table/33/st-helen-and-st-katharine,Abingdon,,32.3,70.8,92.3,26,88.9,39,Private,,"Faringdon Rd, Abingdon OX14 1BE","Faringdon Road, Abingdon, Oxfordshire, OX14 1BE",51.6771333,-1.297238726,Girls (9 to 18),,,,,713 (9-18),www.shsk.org.uk,"Day K &pound 5,995 (9-18) includes lunch",,0,1,0,0,5995,17985,1,
44,44,Latymer Upper School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82231/table/33/latymer-upper-school,London,,31.9,70.4,91.4,30,91.2,25=,Private,"Latymer Upper School is a co-educational public school in Hammersmith, London, England, between King Street and the River Thames.","King St, London W6 9LR","King Street, Hammersmith, London, W6 9LR",51.4906887,-0.237001025,Mixed (7 to 18). Mixed sixth form,"GBP 21,459–21,459","GBP 21,500",Excellent,Co-educational,"1,430 (11-18)",www.latymer-upper.org,"Day K &pound 7,153 (11-18)",,0,0,1,1,7153,21459,1,
45,45,"St John's College, Cardiff",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82493/table/33/st-johns-college-cardiff,Cardiff,,37.4,70.1,90.7,36=,70,113=,Private,"St John's College is an independent co-educational day school in the village of Old St Mellons in Cardiff, Wales. It is the choir school of Wales' national ...","William Nicholls Dr, St. Mellons, Cardiff CF3 5YX","William Nicholls Drive, Cardiff, Wales, CF3 5YX",51.5282274,-3.110589479,Mixed (3 to 18). Mixed sixth form,,,,,540 (3-18),www.stjohnscollegecardiff.co.uk,"Day K &pound 4,383 - K &pound 4,760 (11-18)",,0,0,1,1,4760,14280,1,
46,46,Colchester Royal Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83678/table/34/colchester-royal-grammar-school,Colchester,Selective (100%),28.4,69.8,91.3,9=,78.3,23,State,"Colchester Royal Grammar School (CRGS) is a state-funded grammar school in Colchester, Essex. It was founded in 1128 and was later granted two royal ...","6 Lexden Rd, Colchester CO3 3ND","6 Lexden Road, Colchester, Essex, CO3 3ND",51.88672655,0.886492687,Boys (11 to 18). Mixed sixth form,,,,,"1,012",www.crgs.co.uk,,1,1,0,1,0,0,0,1,1
47,47,Tonbridge School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82233/table/33/tonbridge-school,Tonbridge,,29.9,69.3,89.9,44=,90.1,33,Private,"Tonbridge School is a public school (English independent day and boarding school for boys 13 -18) in Tonbridge, Kent, England, founded in 1553 by Sir Andrew ...","High St, Tonbridge TN9 1JP","High Street, Tonbridge, Kent, TN9 1JP",51.2012753,0.270805176,Boys (13 to 18),"GBP 35,067–35,067","GBP 35,000",Excellent,All boys,806 (13-18),www.tonbridge-school.co.uk,"Day K &pound 11,212 (13-18) includes lunch","Boarding K &pound 14,945 (13-18)",1,0,0,0,11212,33636,1,1
48,48,Wimbledon High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82234/table/33/wimbledon-high-school-gdst,Wimbledon,,28.4,69,90.8,33=,92.8,15,Private,"Wimbledon High School GDST · Visit the school Find an open event > · Social media WimbledonHigh wimbledonhighschoolgdst WimbledonHigh · Address Mansel Road, London","Mansel Rd, London SW19 4AB","Mansel Road, Wimbledon, Wimbledon, SW19 4AB",51.4226,0.2107,Girls (4 to 18),,,,,"1,052 (4-18)",www.wimbledonhigh.gdst.net,"Day K &pound 6,578 (11-18)",,0,1,0,0,6578,19734,1,
49,49,Bancroft's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82561/table/33/bancrofts-school,Woodford Green,,36.2,68.8,89.6,48,86.6,42=,Private,"Bancroft's School is a co-educational independent day school located in Woodford Green, London Borough of Redbridge. The school currently has around 1,000 ...","611-627 High Rd, Woodford, Woodford Green IG8 0RF","High Road, Woodford Green, Essex, IG8 0RF",51.61982999,0.02663284,Mixed (7 to 18). Mixed sixth form,,,,,"1,113 (7-18)",www.bancrofts.org,"Day K &pound 6,587 (11-18) includes lunch",,0,0,1,1,6587,19761,1,
50,50,Cheltenham Ladies' College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82548/table/33/cheltenham-ladies-college,Cheltenham,,30.6,68,90,42=,91.2,25=,Private,"Cheltenham Ladies' College is an independent boarding and day school for girls aged 11 to 18 in Cheltenham, Gloucestershire, England.","Bayshill Rd, Cheltenham GL50 3EP","Bayshill Road, Cheltenham, Gloucestershire, GL50 3EP",51.89783645,-2.080674892,Girls (11 to 18),,,,,879 (11-18),www.cheltladiescollege.org,"Day K &pound 8,900 - K &pound 10,130 (11-18) includes lunch","Boarding K &pound 13,260 - K &pound 14,930 (11-18)",0,1,0,0,10130,30390,1,1
51,51,Altrincham Grammar School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83697/table/34/altrincham-grammar-school-for-girls,Altrincham,Selective (100%),25.3,67.7,91.3,9=,83.6,16,State,"Altrincham Grammar School for Girls (AGGS) is proud of its long tradition of academic success, sporting and cultural achievements. Altrincham Grammar School ...","Cavendish Rd, Bowdon, Altrincham WA14 2NL","Cavendish Road, Bowdon, Altrincham, Cheshire, WA14 2NL",53.38137995,-2.364460607,Girls (11 to 18),,,,,"1,368",www.aggs.trafford.sch.uk,,,0,1,0,0,0,0,1,
52,52,Dartford Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83879/table/34/dartford-grammar-school,Dartford,Selective (100%),20.7,67.3,91.8,7,67.2,61,State,"Dartford Grammar School is a selective secondary (ages 11–19) foundation school for boys in Dartford, Kent, England, which admits girls to its sixth form ...","West Hill, Dartford DA1 2HW","West Hill, Dartford, Kent, DA1 2HW",51.44466985,0.205380207,Boys (11 to 18). Mixed sixth form,,,Outstanding,Co-educational,"1,546",www.dartfordgrammarschool.org.uk,,,1,0,1,0,0,0,1,
53,53,Putney High School GDST,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82232/table/33/putney-high-school-gdst,Putney,,25.8,67.1,92.5,24=,89.2,37,Private,"Putney High School is an independent all-girls school in Putney, London. Often referred to as simply Putney, the school admits students from the ages 4–18.","35 Putney Hill, London SW15 6BH","35 Putney Hill, Putney, Putney, SW15 6BH",51.45685,0.21806,Girls (4 to 18),,,,,"1,055 (4-18)",www.putneyhigh.gdst.net,"Day K &pound 6,609 (11-18)",,0,1,0,0,6609,19827,1,
54,54,Reigate Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82294/table/33/reigate-grammar-school,Reigate,,-,66.8,90.6,38=,81.4,63=,Private,"Reigate Grammar School is a 2–18 mixed independent day school in Reigate, Surrey, England. It was established in 1675 by Henry Smith.","Reigate Rd, Reigate RH2 0QS","Reigate Road, Reigate, Surrey, RH2 0QS",51.2372557,-0.196111317,Mixed (3 to 18). Mixed sixth form,"GBP 20,425–20,425","GBP 20,500",Excellent,Co-educational,"1,073 (11-18)",www.reigategrammar.org,"Day K &pound 6,775 - K &pound 6,875 (11-18)",,0,0,1,1,6875,20625,1,
55,55,Manchester High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82603/table/33/manchester-high-school-for-girls,Manchester,,25.1,66.6,90.7,36=,75.7,81,Private,"Manchester High School for Girls is an English independent day school for girls and a member of the Girls School Association. It is situated in Fallowfield, ...","Grangethorpe Road, Manchester M14 6HS","Grangethorpe Road, Manchester, M14 6HS",53.4472391,-2.221433634,Girls (4 to 18),,,,,988 (4-18),www.manchesterhigh.co.uk,"Day K &pound 4,200 (11-18)",,0,1,0,0,4200,12600,1,
56,56,King Edward VI Camp Hill School for Boys,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83688/table/34/king-edward-vi-camp-hill-school-for-boys,Birmingham,Selective (100%),28.7,66.4,87.1,13,86,12,State,King Edward VI Camp Hill School for Boys is a caring and inclusive community where everyone can do and be their best. We strive to support our students through ...,"Vicarage Rd, King's Heath, Birmingham B14 7QJ","Vicarage Road, Kings Heath, Birmingham, B14 7QJ",52.4306415,-1.9041558,Boys (11 to 18),,,,,960,www.camphillboys.bham.sch.uk,,,1,0,0,0,0,0,1,
57,57,St Albans High School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82241/table/33/st-albans-high-school-for-girls,St Albans,,26.9,66.2,89,53,89,38,Private,"One of the oldest private schools in the world, St Albans School is an outstanding & leading independent boys school & private sixth form in Herts, UK.","Townsend Ave, St Albans AL1 3SJ","Townsend Avenue, St Albans, Hertfordshire, AL1 3SJ",51.7568091,-0.331842435,Girls (4 to 18),"GBP 15,555–19,995","GBP 18,000",Excellent,All girls,"1,150 (4-18)",www.stahs.org.uk,"Day K &pound 6,665 (11-18)",,0,1,0,0,6665,19995,1,
58,58,Downe House,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82607/table/33/downe-house,Thatcham,,22.1,66.2,87.6,60=,84.5,53,Private,"Downe House School is a selective independent girls' day and boarding school in Cold Ash, a village near Newbury, Berkshire, for girls aged 11–18.","Downe House, Hermitage Rd, Cold Ash, Thatcham RG18 9JJ","Cold Ash, Thatcham, Berkshire, RG18 9JJ",51.4373,-1.2737,Girls (11 to 18),"GBP 31,305–31,305","GBP 31,500",Excellent,All girls,581 (11-18),www.downehouse.net,"Day K &pound 10,436 (11-18) includes lunch","Boarding K &pound 14,030 (11-18)",0,1,0,0,10436,31308,1,1
59,59,Stephen Perse Senior School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82348/table/33/stephen-perse-senior-school,Cambridge,,31,66.2,86.5,71,84.9,50=,Private,The Stephen Perse Senior School is located in Union Road in the heart of Cambridge. Students join us from the Stephen Perse Junior Schools Rosedale House ...,"Union Rd, Cambridge CB2 1HF","Union Road, Cambridge, CB2 1HF",52.1970647,0.125435244,"Mixed, taught separately 11-16 (1 to 18). Mixed sixth form",,,,,"1,257 (1-18)",http://senior.stephenperse.com,"Day K &pound 5,950 - K &pound 6,200 (11-18)","Boarding K &pound 12,790 (16-18)",0,0,1,0,6200,18600,1,1
60,60,Channing School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82575/table/33/channing-school,London,,25.4,66.1,89.4,50=,84.7,52,Private,"Channing School is an independent school for girls aged 4-18 in Highgate, North London. Page · School.","The Bank, London N6 5HD","The Bank, Highgate, London, N6 5HF",51.57053045,-0.143432464,Girls (4 to 18),,,,,"1,014 (4-18)",www.channing.co.uk,"Day K &pound 7,240 (11-18)",,0,1,0,0,7240,21720,1,
61,61,"St Catherine's, Bramley",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82229/table/33/st-catherines-bramley,Guildford,,28.2,65.8,89.8,46=,86.4,45=,Private,"St Catherine's Bramley, Guildford. 611 likes · 100 talking about this · 36 were here. Girls aged 4-18 benefit from the very best teaching, a happy...","Station Rd, Bramley, Guildford GU5 0DF","Station Road, Bramley, Guildford, Surrey, GU5 0DF",51.197,0.558,Girls (4 to 18),"GBP 9,435–19,275","GBP 16,500",Excellent,All girls,643 (11-18),www.stcatherines.info,"Day K &pound 6,425 (11-18) includes lunch","Boarding K &pound Contact school - K &pound 10,585 (11-18)",0,1,0,0,6425,19275,1,1
62,62,Tonbridge Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83703/table/34/tonbridge-grammar-school,Tonbridge,Selective (100%),24.4,65.5,89.1,11,79.6,21,State,"Tonbridge Grammar School is a state grammar school in Tonbridge, Kent, United Kingdom. The school was established in 1905 at the Technical Institute in ...","Deakin Leas, Tonbridge TN9 2JR","Deakin Leas, Tonbridge, Kent, TN9 2JR",51.18371155,0.275683773,Girls (11 to 18). Mixed sixth form,,,,,"1,184",www.tgs.kent.sch.uk,,,0,1,1,0,0,0,1,
63,63,Abingdon School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82606/table/33/abingdon-school,Abingdon,,29,65.4,87.1,66,85.6,48=,Private,"Abingdon School is a day and boarding independent school for boys in Abingdon, Oxfordshire, England. The twentieth oldest independent British school, ...","Park Road, Abingdon, Oxfordshire, England","Park Road, Abingdon, Oxfordshire, OX14 1DE",51.6732408,-1.287482294,Boys (4 to 18),"GBP 22,350–22,350","GBP 22,500",Excellent,All boys,"1,062 (11-18)",www.abingdon.org.uk,"Day K &pound 7,220 (11-18) includes lunch","Boarding K &pound 11,990 - K &pound 14,690 (13-18)",1,0,0,0,7220,21660,1,1
64,64,Colyton Grammar School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83674/table/34/colyton-grammar-school,Colyton,Selective (100%),30.2,64.9,84.8,20,84.4,14,State,"Colyton Grammar School (commonly abbreviated to 'CGS') is a co-educational grammar school (and Academy) located in the village of Colyford in East Devon, ...","Whitwell Ln, Colyford, Colyton EX24 6HN","Whitwell Lane, Colyford, Colyton, Devon, EX24 6HN",50.72894365,-3.075087984,Mixed (11 to 18). Mixed sixth form,,,,,"1,000",http://www.colytongrammar.com,,,0,0,1,1,0,0,1,
65,65,Westbourne School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/87934/table/33/westbourne-school,Penarth,,18.7,64.8,90.3,41,55.6,219=,Private,"Award-winning boarding and day school in the heart of Penarth, Cardiff. Welcoming students from 2 -18 years, offering IB Diploma & GCSE excellence.","60 Westbourne Road, Broomhill
Sheffield, South Yorkshire, England","Hickman Road, Penarth, Wales, CF64 2AJ",51.43671015,-3.174543704,Mixed (2 to 18). Mixed sixth form,"GBP 8,520–14,790","GBP 13,000",Excellent,Co-educational,241 (2-18),www.westbourneschool.com,"Day K &pound 4,590 - K &pound 4,990 (11-18)","Boarding K &pound 11,950 - K &pound 12,650 (11-18)",0,0,1,1,4990,14970,1,1
66,66,St Albans School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82320/table/33/st-albans-school,St Albans,,28.4,64.6,87,67=,82.3,61,Private,"Founded in 948 by Wulsin, St Albans School is the oldest school in Hertfordshire and one of the oldest schools in the world, being located on a 500 acre site.","Abbey Gateway, St Albans, Hertfordshire, England","Abbey Gateway, St Albans, Hertfordshire, AL3 4HB",51.75124315,-0.34513668,Boys (11 to 18). Mixed sixth form,"GBP 15,555–19,995","GBP 18,000",Excellent,All girls,890 (11-18),www.st-albans.herts.sch.uk,"Day K &pound 6,630 (11-18)",,1,0,1,0,6630,19890,1,
67,67,City of London Freemen's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82312/table/33/city-of-london-freemens-school,Ashtead,,28.8,64.5,87.6,60=,84.1,56,Private,"City of London Freemen's School (CLFS) is a co-educational independent school for day and boarding pupils, located at Ashtead Park in Surrey, England.","Hale, Gresham and Whittington","Ashtead Park, Ashtead, Surrey, KT21 1ET",51.30854205,-0.28635332,Mixed (7 to 18). Mixed sixth form,,,,,900 (7-18),www.clfs.surrey.sch.uk,"Day K &pound 5,629 - K &pound 7,175 (11-18)","Boarding K &pound 10,945 - K &pound 12,121 (13-18)",0,0,1,1,7175,21525,1,1
68,68,St Michael's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82530/table/33/st-michaels-school,Llanelli,,24.2,64.1,86.9,69,74.6,87,Private,Providing a first-class education and inspiring a love of learning whilst emphasising traditional values since 1922. St Michael's is consistently listed in ...,"Bryn, Llanelli, Carmarthenshire, Wales","Bryn, Llanelli, Wales, SA14 9TU",51.6844071,-4.107218736,Mixed (3 to 18). Mixed sixth form,,,,,423 (3-18),www.stmikes.co.uk,"Day K &pound 4,081 - K &pound 4,472 (11-18)","Boarding K &pound 6,589 - K &pound 8,072 (11-18)",0,0,1,1,4472,13416,1,1
69,69,St Mary's Calne,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/88733/table/33/st-marys-calne,Calne,,22.3,63.7,87.7,59,82.7,58,Private,"St Mary's School is an independent day and boarding school in Calne, Wiltshire, for girls aged 11 to 18. The school is a registered charity.","63 Curzon St, Calne SN11 0DF","Calne, Wiltshire, SN11 0DF",51.440251,-2.0122011,"Girls, mixed prep (3 to 18)","GBP 30,795–30,795","GBP 31,000",Excellent,All girls,354 (11-18),www.stmaryscalne.org,"Day K &pound 10,265 (11-18) includes lunch","Boarding K &pound 13,760 (11-18)",0,1,0,0,10265,30795,1,1
70,70,Dulwich College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82235/table/33/dulwich-college,Dulwich,,29.8,63.7,87.2,64=,85.6,48=,Private,"Dulwich College is a 2–19 independent, day and boarding school for boys in Dulwich, London, England. As a public school, it began as the College of God's ...","Dulwich Common, London SE21 7LD","Dulwich Common, Dulwich, SE21 7LD",51.43858755,-0.085274609,"Boys, mixed pre-prep (0 to 18)","GBP 15,855–21,246","GBP 20,000",Excellent,All boys,"1,834 (0-18)",www.dulwich.org.uk,"Day K &pound 7,224 (11-18) includes lunch (11-12)","Boarding K &pound 14,136 - K &pound 15,078 (11-18)",1,0,0,0,7224,21672,1,1
71,71,Eltham College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82538/table/33/eltham-college,Mottingham,,24.2,63.6,91.3,31,86.5,44,Private,"Eltham College is an independent day school situated in Mottingham, southeast London. Eltham and Mottingham once formed part of the same parish, ...","Grove Park Road, Mottingham, London, England","Grove Park Road, Mottingham, Mottingham, SE9 4QF",51.4391691,0.034667136,Mixed (7 to 18). Mixed sixth form,,,,,111 (7-18),www.elthamcollege.london,"Day K &pound 6,557 (11-18)",,0,0,1,1,6557,19671,1,
72,72,"King Edward VI Grammar School, Chelmsford",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83681/table/34/king-edward-vi-grammar-school-chelmsford,Chelmsford,Selective (100%),25.2,63.5,85.4,19,87.1,7,State,"King Edward VI Grammar School, or KEGS, is a British grammar school with academy status located in the city of Chelmsford, Essex, England.","Broomfield Rd, Chelmsford CM1 3SX","Broomfield Road, Chelmsford, Essex, CM1 3SX",51.74018505,0.464929923,Boys (11 to 18). Mixed sixth form,,,,,"1,117",www.kegs.org.uk,,,1,0,1,0,0,0,1,
